Date,AAPL,GOOGL,JNJ,JPM,MA,MSFT,TSLA,V,WMT,XOM
2019-12-11,65.21005249023438,66.62174224853516,117.76852416992188,112.12498474121094,279.07159423828125,143.3977508544922,23.51333236694336,173.73521423339844,36.30826187133789,51.49825668334961
2019-12-12,65.37622833251953,66.8318862915039,118.06925964355469,115.33380126953125,281.14990234375,144.85345458984375,23.978666305541992,174.33660888671875,36.5401496887207,52.528839111328125
2019-12-13,66.26492309570312,66.75160217285156,118.10265350341797,114.32270812988281,284.883056640625,146.0728759765625,23.892667770385742,176.72296142578125,36.70185470581055,51.69990539550781
2019-12-16,67.39921569824219,67.4370346069336,118.44515228271484,114.76559448242188,285.72003173828125,147.01809692382812,25.433332443237305,177.77294921875,36.778133392333984,52.27492904663086
2019-12-17,67.53166961669922,67.1490707397461,119.92376708984375,115.46749877929688,284.79644775390625,146.22410583496094,25.266000747680664,177.08563232421875,37.00392150878906,52.035953521728516
2019-12-18,67.37032318115234,67.00138092041016,119.61468505859375,115.35051727294922,283.5841369628906,145.921630859375,26.209999084472656,176.49386596679688,36.57066345214844,52.17784118652344
2019-12-19,67.43775939941406,67.22590637207031,121.41903686523438,114.77394104003906,286.2685546875,147.18824768066406,26.93600082397461,178.05929565429688,36.637794494628906,51.81937789916992
2019-12-20,67.298095703125,66.9671859741211,122.01214599609375,114.68203735351562,287.2691955566406,148.7952423095703,27.03933334350586,179.45294189453125,36.70185470581055,52.23012924194336
2019-12-23,68.39627838134766,66.93794250488281,122.32958221435547,114.64859771728516,286.0183410644531,148.7952423095703,27.947999954223633,178.57476806640625,36.31740951538086,52.49148941040039
2019-12-24,68.46129608154297,66.63066864013672,121.90355682373047,114.96612548828125,286.22039794921875,148.766845703125,28.350000381469727,179.04249572753906,36.463863372802734,52.289859771728516
2019-12-26,69.819580078125,67.52473449707031,121.82000732421875,116.1861801147461,287.8753967285156,149.98626708984375,28.729333877563477,180.5601806640625,36.46692657470703,52.37200927734375
2019-12-27,69.7930908203125,67.13667297363281,121.75318145751953,116.2697525024414,289.35699462890625,150.2604217529297,28.691999435424805,180.77969360351562,36.48828125,52.19277572631836
2019-12-30,70.20732116699219,66.39673614501953,121.37726593017578,115.84355926513672,286.45135498046875,148.96534729003906,27.64666748046875,179.2906494140625,36.43030548095703,51.8865966796875
2019-12-31,70.72028350830078,66.3808822631836,121.85340881347656,116.4869613647461,287.2883605957031,149.0693817138672,27.8886661529541,179.3574676513672,36.25945281982422,52.110633850097656
2020-01-02,72.3338623046875,67.83251953125,121.93695068359375,117.8991928100586,291.9067077636719,151.82957458496094,28.68400001525879,182.43106079101562,36.28996276855469,52.9470329284668
2020-01-03,71.63064575195312,67.4776611328125,120.52519989013672,116.34335327148438,289.0587158203125,149.93899536132812,29.534000396728516,180.9801483154297,35.9695930480957,52.52136993408203
2020-01-06,72.20140075683594,69.27620697021484,120.3748779296875,116.2508544921875,289.8284912109375,150.32656860351562,30.1026668548584,180.5888214111328,35.896366119384766,52.92462921142578
2020-01-07,71.86184692382812,69.14241790771484,121.10997772216797,114.27452850341797,288.84710693359375,148.95591735839844,31.270666122436523,180.1114959716797,35.56379699707031,52.49148941040039
2020-01-08,73.01782989501953,69.63453674316406,121.09326171875,115.16593933105469,293.94366455078125,151.32855224609375,32.80933380126953,183.19467163085938,35.44175338745117,51.69990539550781
2020-01-09,74.56877899169922,70.36555480957031,121.45246887207031,115.58646392822266,297.79742431640625,153.2190704345703,32.089332580566406,184.46420288085938,35.80788040161133,52.095706939697266
2020-01-10,74.73738098144531,70.82002258300781,121.1767807006836,114.43431854248047,299.79168701171875,152.5101318359375,31.876667022705078,184.96060180664062,35.50886917114258,51.632694244384766
2020-01-13,76.3340835571289,71.36865234375,121.71141052246094,115.38462829589844,303.6839294433594,154.34397888183594,34.990665435791016,186.44969177246094,35.3563117980957,52.12556838989258
2020-01-14,75.30333709716797,70.90081024169922,122.39641571044922,116.73023986816406,299.2811279296875,153.25694274902344,35.861331939697266,187.1369171142578,35.4478645324707,51.67749786376953
2020-01-15,74.9806137084961,71.32752990722656,122.80569458007812,114.98091888427734,302.7591247558594,154.2494659423828,34.56666564941406,190.71644592285156,35.17325210571289,51.59534454345703
2020-01-16,75.91986083984375,71.8707046508789,123.79977416992188,115.4266586303711,308.58782958984375,157.07583618164062,34.232666015625,191.8141326904297,35.36241912841797,51.393714904785156
2020-01-17,76.7603530883789,73.32579803466797,124.6100845336914,116.22562408447266,311.824951171875,157.9549102783203,34.03333282470703,195.3936004638672,35.07561111450195,51.19955825805664
2020-01-21,76.24015045166016,73.46110534667969,124.69364929199219,115.08185577392578,310.1582336425781,157.38775634765625,36.47999954223633,197.86590576171875,35.267826080322266,50.467708587646484
2020-01-22,76.51232147216797,73.5413818359375,123.84156036376953,114.94730377197266,312.4512023925781,156.63150024414062,37.97066879272461,198.4481964111328,35.42344284057617,50.17646026611328
2020-01-23,76.88077545166016,73.58201599121094,124.07548522949219,114.8295669555664,313.09674072265625,157.59573364257812,38.14666748046875,197.13092041015625,35.33495330810547,49.86281204223633
2020-01-24,76.65921020507812,72.6641616821289,123.90006256103516,111.97859954833984,311.8346252441406,156.00762939453125,37.654666900634766,195.68003845214844,34.895591735839844,49.526763916015625
2020-01-27,74.405029296875,70.95731353759766,124.25926208496094,111.03668975830078,304.2235107421875,153.39871215820312,37.201332092285156,192.52053833007812,35.35021209716797,48.34683609008789
2020-01-28,76.50989532470703,71.88755798339844,124.88574981689453,113.05506134033203,308.5589294433594,156.4046630859375,37.793331146240234,193.62777709960938,35.57599639892578,48.27962875366211
2020-01-29,78.11141967773438,72.19483184814453,125.7545394897461,112.88685607910156,308.6070251464844,158.84347534179688,38.732666015625,195.54640197753906,35.359375,47.876365661621094
